Student_ID,Age,Gender,Field_of_Study,Year_of_Study,University_Location,GPA,Relevant_Coursework,Prior_Employment,Employment_Type,Entrepreneurial_Experience,Startup_Participation,Career_Interests,Entrepreneurial_Aspirations,Career_Guidance_Satisfaction,Recommended_Career_Path,Entrepreneurship_Suitability_Score,Top_Recommended_Industries,Predicted_Job_Success_Probability,User_Satisfaction,Followed_Recommendations,Employment_Status_Post_Graduation
S0001,24,Female,Science,4,Region A,3.64,0,1,Full-Time,1,1,Design,High,7,Healthcare,11,Tech,13,4,1,Unemployed
S0002,21,Female,Engineering,5,Region C,2.88,0,1,Internship,0,1,Tech,Low,1,Design,34,Healthcare,20,6,1,Self-Employed
S0003,28,Male,Business,3,Region A,2.26,1,1,Full-Time,0,1,Design,High,6,Tech,69,Tech,42,10,0,Employed
S0004,25,Female,Business,5,Region B,2.76,1,0,Internship,1,1,Finance,Low,6,Finance,71,Finance,27,9,0,Unemployed
S0005,22,Male,Law,2,Region A,3.24,1,1,Part-Time,1,1,Finance,Low,5,Business,20,Education,20,5,1,Self-Employed
S0006,24,Female,Arts,3,Region C,2.91,0,1,Internship,1,1,Business,Medium,2,Healthcare,60,Finance,35,7,1,Employed
S0007,27,Male,Business,4,Region C,3.56,1,0,Part-Time,1,1,Business,Low,2,Tech,34,Design,23,1,1,Self-Employed
S0008,20,Male,Arts,3,Region B,4.0,1,1,Part-Time,1,1,Healthcare,Medium,9,Healthcare,47,Finance,53,9,1,Self-Employed
S0009,24,Female,Science,5,Region C,2.38,0,1,Part-Time,0,1,Design,Medium,5,Design,14,Healthcare,37,6,0,Self-Employed
S0010,28,Other,Engineering,1,Region B,2.92,1,0,Part-Time,0,1,Healthcare,High,5,Tech,70,Healthcare,16,4,0,Employed
S0011,28,Female,Law,3,Region A,2.86,0,1,Part-Time,1,0,Finance,Low,7,Tech,14,Healthcare,21,6,1,Self-Employed
S0012,25,Female,Arts,4,Region A,2.61,1,0,Full-Time,1,1,Business,Low,6,Tech,5,Tech,82,5,1,Employed
S0013,22,Female,Business,2,Region B,2.4,1,1,Full-Time,1,1,Business,Low,2,Business,80,Healthcare,44,3,0,Unemployed
S0014,21,Male,Arts,1,Region B,2.13,0,0,Full-Time,0,1,Business,Medium,1,Tech,67,Finance,73,7,0,Employed
S0015,25,Other,Business,2,Region C,3.77,1,1,Part-Time,1,1,Tech,Low,5,Healthcare,21,Education,60,3,0,Self-Employed
S0016,25,Female,Arts,3,Region A,2.84,1,0,Internship,0,1,Finance,High,4,Business,31,Healthcare,10,2,0,Employed
S0017,20,Female,Business,5,Region B,2.99,0,1,Full-Time,0,1,Business,High,3,Tech,21,Finance,60,4,1,Self-Employed
S0018,23,Female,Science,5,Region A,3.83,1,1,Internship,1,1,Finance,Low,2,Healthcare,26,Tech,37,7,1,Unemployed
S0019,22,Female,Business,4,Region B,3.55,1,1,Internship,0,1,Business,Medium,10,Healthcare,14,Tech,65,5,1,Employed
S0020,19,Female,Business,5,Region A,2.26,0,1,Part-Time,1,1,Design,High,2,Finance,43,Education,32,9,1,Unemployed
S0021,25,Male,Engineering,1,Region C,3.13,1,1,Part-Time,0,1,Finance,High,4,Healthcare,85,Education,42,10,1,Employed
S0022,29,Female,Business,5,Region A,2.88,1,0,Part-Time,1,1,Healthcare,Medium,2,Design,91,Finance,30,7,1,Self-Employed
S0023,23,Male,Engineering,4,Region A,3.59,1,0,Full-Time,1,0,Tech,High,4,Tech,8,Education,34,9,0,Employed
S0024,19,Other,Law,3,Region A,3.45,1,1,Part-Time,1,1,Healthcare,Medium,3,Tech,33,Education,36,9,1,Unemployed
S0025,29,Female,Engineering,3,Region A,3.38,1,0,Full-Time,1,1,Finance,High,9,Tech,99,Tech,46,2,0,Employed
S0026,22,Male,Science,5,Region A,2.68,1,0,Full-Time,0,1,Business,Medium,7,Healthcare,72,Finance,99,1,0,Unemployed
S0027,18,Female,Engineering,2,Region C,3.61,1,1,Full-Time,1,1,Finance,High,3,Healthcare,14,Education,22,4,0,Unemployed
S0028,29,Female,Law,3,Region B,2.1,1,0,Full-Time,1,1,Tech,Low,8,Tech,61,Finance,35,4,1,Self-Employed
S0029,27,Female,Science,5,Region A,2.32,1,0,Part-Time,0,1,Finance,High,9,Business,44,Healthcare,39,2,0,Employed
S0030,23,Female,Arts,4,Region C,2.67,1,1,Full-Time,1,1,Business,High,7,Business,83,Tech,89,3,0,Unemployed
S0031,29,Male,Arts,5,Region A,2.15,0,1,Part-Time,0,1,Healthcare,Low,6,Design,71,Tech,88,3,1,Self-Employed
S0032,26,Female,Engineering,3,Region A,2.47,1,1,Part-Time,1,1,Design,Low,4,Finance,57,Tech,80,5,1,Self-Employed
S0033,18,Female,Engineering,4,Region B,3.66,1,1,Full-Time,1,0,Healthcare,Low,5,Design,91,Design,14,1,1,Self-Employed
S0034,28,Male,Law,5,Region A,3.9,0,1,Part-Time,0,1,Business,Low,8,Tech,18,Finance,36,9,1,Unemployed
S0035,28,Female,Law,1,Region C,2.61,0,1,Internship,1,1,Business,Medium,3,Tech,15,Healthcare,3,8,0,Employed
S0036,27,Male,Business,4,Region C,2.53,1,0,Part-Time,1,1,Tech,Medium,2,Tech,74,Education,21,8,0,Unemployed
S0037,29,Male,Law,1,Region B,2.56,1,0,Part-Time,1,0,Finance,High,3,Finance,7,Healthcare,80,3,1,Self-Employed
S0038,29,Female,Business,2,Region A,2.56,1,1,Full-Time,1,0,Finance,High,7,Healthcare,32,Finance,21,2,1,Unemployed
S0039,20,Female,Science,4,Region C,2.07,1,1,Full-Time,1,0,Healthcare,High,8,Finance,73,Tech,80,1,1,Unemployed
S0040,29,Male,Engineering,1,Region A,3.85,1,1,Part-Time,1,1,Design,Medium,1,Design,17,Design,77,6,1,Self-Employed
